method,target_n,mean_actual_n,mean_tracking_error,median_tracking_error,n_periods
lasso,30,29.864864864864863,0.12238761851543394,0.10459801417861288,37
lasso,60,59.45945945945946,0.06868816530994232,0.05965605645289486,37
lasso,100,99.4054054054054,0.038152757298546607,0.032821737895160095,37
optimization,30,30.0,0.032304541392099664,0.03051424297018613,37
optimization,60,59.891891891891895,0.022989146094498845,0.02079116667598606,37
optimization,100,99.72972972972973,0.019390589795338076,0.01716898189157214,37
stratified,30,33.0,0.05012855578330872,0.04502005087019481,37
stratified,60,55.0,0.04221416679573627,0.03839199950540964,37
stratified,100,99.0,0.03625330920150026,0.030400474673543995,37
