strategy,strategy_family,aum,regime,name_count,mean_one_way_turnover,n_days,gross_annualized_return,cost_adjusted_return,cost_adjusted_return_ci_low,cost_adjusted_return_ci_high,sharpe,sharpe_ci_low,sharpe_ci_high,tracking_error,tracking_error_ci_low,tracking_error_ci_high
full_replication,benchmark,10000000.0,all,,,2611,0.15717495130581427,0.1387837568014565,0.03046107577589948,0.24693973955627174,0.8180405667386932,0.24952161138871945,1.4746353962231504,0.0,0.0,0.0
full_replication,benchmark,10000000.0,normal,,,816,0.09590885835605167,0.08656336040086177,-0.037306004144560305,0.21585707107534582,0.7046241916546807,-0.21783621809315548,1.6073443981403588,0.0,0.0,0.0
full_replication,benchmark,10000000.0,calm,,,934,0.18751964529860543,0.18347893750422029,0.09868128914604436,0.2719493449976737,2.1384057018982907,1.1827573466078474,3.071030338172196,0.0,0.0,0.0
full_replication,benchmark,10000000.0,volatile,,,861,0.18465105253009462,0.14155568687634168,-0.11930434546268033,0.45449547573759896,0.6245556522551566,-0.27149014732835647,1.7222159361104998,0.0,0.0,0.0
equal_weight,smart_beta,10000000.0,all,462.1219512195122,0.00999891467052919,2564,0.14807478595639423,0.1283503580190548,0.015479911160918828,0.2509065692550121,0.7475653538702083,0.1781116434647813,1.3976973807538462,0.05698409275615921,0.051447916041884936,0.06268528427768515
equal_weight,smart_beta,10000000.0,normal,462.1219512195122,0.00999891467052919,794,0.08116862012538961,0.07181325370804625,-0.05118318614762449,0.19978951142766027,0.6013042717845617,-0.3205579761963247,1.5041748391044905,0.05864769688186301,0.051180788485449255,0.06492211485279259
equal_weight,smart_beta,10000000.0,calm,462.1219512195122,0.00999891467052919,921,0.14532580136706885,0.14028618127145176,0.05433875360812744,0.23693685776790419,1.4957907984963992,0.6236163271607857,2.3708185571004208,0.04351613272045372,0.03493904359423011,0.05130652615073117
equal_weight,smart_beta,10000000.0,volatile,462.1219512195122,0.00999891467052919,849,0.21753418612237319,0.17015632808144932,-0.1113155371808134,0.5116756632735167,0.702938788464084,-0.21779367486119186,1.7936436049873306,0.067349862295555,0.05597511175275642,0.07787917036936555
min_vol,smart_beta,10000000.0,all,414.2926829268293,0.35512349739065374,2564,0.1027877603303955,0.0775684893989419,-0.00935934088462617,0.1638631875069181,0.6327224393477017,0.02257256922259492,1.3962850770725594,0.10770789368532839,0.09850709898162772,0.11733240809172836
min_vol,smart_beta,10000000.0,normal,414.2926829268293,0.35512349739065374,794,0.07024140835444981,0.05038048004897733,-0.048287913758908126,0.159893124339843,0.591757990814467,-0.48968684011525654,1.724851979126089,0.10586045370584242,0.09784004017778712,0.11354376818010202
min_vol,smart_beta,10000000.0,calm,414.2926829268293,0.35512349739065374,921,0.13257939020751586,0.11962631390376433,0.044859012132131476,0.19814450525960842,1.5890942959991716,0.6329349330639908,2.55834825893522,0.06903755957689114,0.062395464039466685,0.07511877153479951
min_vol,smart_beta,10000000.0,volatile,414.2926829268293,0.35512349739065374,849,0.10179150857033648,0.0585513741168846,-0.15577087311377613,0.30063029929532803,0.3876857221584205,-0.5611202071237683,1.7339242170908014,0.13929232206530479,0.12196704086109732,0.15710143752100703
quality,smart_beta,10000000.0,all,415.5609756097561,0.00859232691741257,2577,0.19032138953172328,0.16939374034660037,0.05469097354283321,0.30043653662078046,0.9394795658834777,0.3646705657066501,1.6172676737673861,0.052705170011296286,0.04782994691441546,0.0579899024440739
quality,smart_beta,10000000.0,normal,415.5609756097561,0.00859232691741257,797,0.12815800257530574,0.11693767364846352,-0.0063021867263587245,0.24417631137166676,0.9160709459157326,0.023731458165164192,1.7998360191820615,0.05362169879294189,0.04718885096780944,0.059436838309171056
quality,smart_beta,10000000.0,calm,415.5609756097561,0.00859232691741257,930,0.19521993631916912,0.1900047812623764,0.10659217541831925,0.28202231293108043,1.9862545770528564,1.1617986370458258,2.8307293199167347,0.04164715540687162,0.0346127757971202,0.0483731056857733
quality,smart_beta,10000000.0,volatile,415.5609756097561,0.00859232691741257,850,0.24609304813241661,0.19726492882529056,-0.09203719580421348,0.5404626103757199,0.7823398892714493,-0.13960883640707655,1.900597359313924,0.06188391211799589,0.05155681918577488,0.07216485033010812
multi_factor,smart_beta,10000000.0,all,438.9512195121951,0.089690488817509,2566,0.17731300771414604,0.15743145042209883,0.04892322077179651,0.2753106859348338,0.9017628026877523,0.33706887408605984,1.5914948182166004,0.015589136519452595,0.013526624509415091,0.01795563699546679
multi_factor,smart_beta,10000000.0,normal,438.9512195121951,0.089690488817509,794,0.11148069265045435,0.10078879942295127,-0.01815501858747216,0.22456232466144213,0.7833422786517114,-0.06591031218416252,1.6181018676847456,0.016165404815747703,0.012528211827376873,0.02018142893732435
multi_factor,smart_beta,10000000.0,calm,438.9512195121951,0.089690488817509,923,0.21506628739032063,0.20995598721281872,0.12318367768447869,0.3043387054942158,2.370781344506891,1.4337720330963257,3.3242202099032974,0.010731402597682797,0.009420498900741257,0.011977813202801169
multi_factor,smart_beta,10000000.0,volatile,438.9512195121951,0.089690488817509,849,0.2004837555365384,0.1555130127247748,-0.11015180664244215,0.470159844361018,0.6680865420117248,-0.21391514574675194,1.7845523876258964,0.019097391607350186,0.015430969698563793,0.023088746916099658
full_replication,benchmark,100000000.0,all,,,2611,0.15717495130581427,0.1387837568014565,0.03046107577589948,0.24693973955627174,0.8180405667386932,0.24952161138871945,1.4746353962231504,0.0,0.0,0.0
full_replication,benchmark,100000000.0,normal,,,816,0.09590885835605167,0.08656336040086177,-0.037306004144560305,0.21585707107534582,0.7046241916546807,-0.21783621809315548,1.6073443981403588,0.0,0.0,0.0
full_replication,benchmark,100000000.0,calm,,,934,0.18751964529860543,0.18347893750422029,0.09868128914604436,0.2719493449976737,2.1384057018982907,1.1827573466078474,3.071030338172196,0.0,0.0,0.0
full_replication,benchmark,100000000.0,volatile,,,861,0.18465105253009462,0.14155568687634168,-0.11930434546268033,0.45449547573759896,0.6245556522551566,-0.27149014732835647,1.7222159361104998,0.0,0.0,0.0
equal_weight,smart_beta,100000000.0,all,462.1219512195122,0.00999891467052919,2564,0.14807478595639423,0.1278130843470775,0.014891093481971832,0.25010175308294275,0.7449197241316312,0.17534757972693793,1.3952446915910834,0.05699628469327304,0.0514532171615453,0.06269627932191246
equal_weight,smart_beta,100000000.0,normal,462.1219512195122,0.00999891467052919,794,0.08116862012538961,0.07131562028638161,-0.05143493716439406,0.19921828995356036,0.5977001639632964,-0.32362627802922495,1.499359703434677,0.058642656014362214,0.051188840165144266,0.06491703409652588
equal_weight,smart_beta,100000000.0,calm,462.1219512195122,0.00999891467052919,921,0.14532580136706885,0.13986768911466796,0.054071258124890983,0.23618464612881837,1.491302600246904,0.6210708620713318,2.366121141459446,0.04353632074550922,0.034977695656965624,0.05132023623028233
equal_weight,smart_beta,100000000.0,volatile,462.1219512195122,0.00999891467052919,849,0.21753418612237319,0.16944894364182828,-0.11189345895917222,0.5110769797297717,0.7007290759384763,-0.22003019573443786,1.7911432232679159,0.06737140761266061,0.055988778244493206,0.07789726317100727
min_vol,smart_beta,100000000.0,all,414.2926829268293,0.35512349739065374,2564,0.1027877603303955,0.04400088221282483,-0.04416114905018934,0.1314881409974951,0.38327093417693825,-0.18633205291994395,1.1232041350470938,0.1117056147709158,0.10114379149723839,0.12301170895877753
min_vol,smart_beta,100000000.0,normal,414.2926829268293,0.35512349739065374,794,0.07024140835444981,0.017378662657170807,-0.08252284373195515,0.12424103959055312,0.230851715006291,-0.8586123102252127,1.3245239483404065,0.10831022642224312,0.09997159596342446,0.11591852650077972
min_vol,smart_beta,100000000.0,calm,414.2926829268293,0.35512349739065374,921,0.13257939020751586,0.09835262722327132,0.022453433831707014,0.17627358110627064,1.2551668331603705,0.30467471364472243,2.263051377023254,0.07243493888679431,0.06488385878327448,0.07952105845922494
min_vol,smart_beta,100000000.0,volatile,414.2926829268293,0.35512349739065374,849,0.10179150857033648,0.012141644836753729,-0.20377983620514992,0.24821867308104814,0.16337720338273845,-0.7586888195798137,1.4584448846726763,0.1450389476345451,0.12480348150901166,0.16698032285457104
quality,smart_beta,100000000.0,all,415.5609756097561,0.00859232691741257,2577,0.19032138953172328,0.16806478574238937,0.054307172234505006,0.29948372869271295,0.9331385646056496,0.36320944039716463,1.6052253487375079,0.05285626420375294,0.04791106307171612,0.05811305448844537
quality,smart_beta,100000000.0,normal,415.5609756097561,0.00859232691741257,797,0.12815800257530574,0.11359247215891832,-0.009025164498853865,0.2386966398313694,0.8919367722289295,-0.003297152652578065,1.7666952555783844,0.054089578241723134,0.04759147410037356,0.06001187773300314
quality,smart_beta,100000000.0,calm,415.5609756097561,0.00859232691741257,930,0.19521993631916912,0.18957185972606094,0.10612072783339264,0.2815540978072115,1.9821161055464271,1.1556448070551006,2.826539303728824,0.041653168300512695,0.03461009041379428,0.04837494020620681
quality,smart_beta,100000000.0,volatile,415.5609756097561,0.00859232691741257,850,0.24609304813241661,0.1969848592258565,-0.09235142496982725,0.5402379296558175,0.7814870463242717,-0.1403308626471905,1.9002947492040492,0.061889914361725286,0.05156169654954389,0.0721732755502685
multi_factor,smart_beta,100000000.0,all,438.9512195121951,0.089690488817509,2566,0.17731300771414604,0.15575171680411315,0.04721363538454202,0.27404141865935594,0.8934655376732435,0.32995599560154804,1.5824581771023167,0.015653769879229423,0.013588527358158851,0.01801607752218315
multi_factor,smart_beta,100000000.0,normal,438.9512195121951,0.089690488817509,794,0.11148069265045435,0.09956681741207629,-0.019060775616082985,0.22372701836154404,0.7749686198962619,-0.07240875303394151,1.6102547567863152,0.016175924661124958,0.01257000000175441,0.020189377735851034
multi_factor,smart_beta,100000000.0,calm,438.9512195121951,0.089690488817509,923,0.21506628739032063,0.20823403978055022,0.12196684382816618,0.301449642941941,2.3518262173771394,1.4219275103453857,3.290732623921204,0.010880733592462433,0.009528768371634317,0.012176333089207689
multi_factor,smart_beta,100000000.0,volatile,438.9512195121951,0.089690488817509,849,0.2004837555365384,0.15343611853533345,-0.11258476931505151,0.4683388343643874,0.661338340198367,-0.22200760434450312,1.781712325176798,0.01915569636008322,0.01549327941845453,0.02314509409245313
full_replication,benchmark,1000000000.0,all,,,2611,0.15717495130581427,0.1387837568014565,0.03046107577589948,0.24693973955627174,0.8180405667386932,0.24952161138871945,1.4746353962231504,0.0,0.0,0.0
full_replication,benchmark,1000000000.0,normal,,,816,0.09590885835605167,0.08656336040086177,-0.037306004144560305,0.21585707107534582,0.7046241916546807,-0.21783621809315548,1.6073443981403588,0.0,0.0,0.0
full_replication,benchmark,1000000000.0,calm,,,934,0.18751964529860543,0.18347893750422029,0.09868128914604436,0.2719493449976737,2.1384057018982907,1.1827573466078474,3.071030338172196,0.0,0.0,0.0
full_replication,benchmark,1000000000.0,volatile,,,861,0.18465105253009462,0.14155568687634168,-0.11930434546268033,0.45449547573759896,0.6245556522551566,-0.27149014732835647,1.7222159361104998,0.0,0.0,0.0
equal_weight,smart_beta,1000000000.0,all,462.1219512195122,0.00999891467052919,2564,0.14807478595639423,0.12611499910536494,0.013030548314298635,0.24754993596773725,0.7365432334029778,0.16660812894103014,1.384367609881774,0.0570463219772065,0.05148057347752531,0.06274120427335385
equal_weight,smart_beta,1000000000.0,normal,462.1219512195122,0.00999891467052919,794,0.08116862012538961,0.06974295759465532,-0.052227190746379916,0.19747585177708102,0.586286999864688,-0.3330504583439713,1.493960775466361,0.05863505849598209,0.05115177584401127,0.06489996559794534
equal_weight,smart_beta,1000000000.0,calm,462.1219512195122,0.00999891467052919,921,0.14532580136706885,0.1385445745801248,0.05329682732401843,0.23452521280932548,1.4770153406559368,0.6162702851773515,2.3477760672090753,0.04361460096422681,0.03503916646269476,0.051372733614877215
equal_weight,smart_beta,1000000000.0,volatile,462.1219512195122,0.00999891467052919,849,0.21753418612237319,0.16721379198704844,-0.1141795864204821,0.5091845586255103,0.6937370565432242,-0.2270954990050122,1.7852555152252034,0.06745192271616045,0.05604285694812494,0.07798796529093194
